# cpan-board14 ROW-LEVEL FAILURES — the blessed baseline (task #1502, s473w,
# 2026-09-09).  One line per FAILING assertion of the 14-dist CPAN board, plus
# one synthetic `*FILE*` row per t-file that produced NO TAP at all.
#
# Columns: dist, t-file, test-number, description, got, expected, CAUSE.
# Join key: (dist, t-file, description) — NEVER the number, which drifts
# whenever PCL's row count diverges from perl's.  An unnamed row carries the
# empty description and #1041's rule then makes one key stand for all of a
# file's unnamed rows (Text-Balanced 05_extmul.t is 14 such rows).
#
# WRITTEN BY:  tools/cpan-scoreboard.pl --rows  (six columns)
# CAUSES ADDED BY HAND, and they leave BY EDIT — never by re-blessing a run.
# COMPARE WITH:  tools/cpan-scoreboard.pl --diff <this file> <a fresh --rows>
#                  [--board-baseline baselines/cpan-board14-s473w.tsv
#                   --board-current <a fresh --tsv>]
#                which prints NEW / FIXED / LOST and the CAUSES line, and exits
#                nonzero on NEW or LOST — the sweep's contract exactly.
#
# THE COMMAND (the `--no-dist-lib` applies to every dist AFTER it; oracle rule
# 2: Scalar-List-Utils' unbuilt XS lib/ must not shadow PCL's shim):
#
#   tools/cpan-scoreboard.pl --jobs 4 --timeout 120 \
#     --tsv baselines/cpan-board14-s473w.tsv --rows <out>.rows.tsv \
#     ~/.cpan/build/{Algorithm-Diff-1.201-0,Capture-Tiny-0.50-0,\
#       Class-Inspector-1.36-0,Class-Method-Modifiers-2.15-0,Data-Dump-1.25-0,\
#       File-Which-1.27-0,Mojo-DOM58-3.002-0,Role-Tiny-2.002004-0,\
#       Safe-Isa-1.000010-0,Sort-Versions-1.62-0,Sub-Uplevel-0.2800-0,\
#       Text-Balanced-2.07-0,Try-Tiny-0.32-0} \
#     --no-dist-lib ~/.cpan/build/Scalar-List-Utils-1.70-0
#
# REAL PERL WAS RUN BESIDE EVERY FILE (oracle rule 1), 183 of 183, with the
# same @INC rule and CWD = the dist root.  Seven files real perl SKIPS too —
# they carry the cause `PERL-SKIP` and are NOT PCL failures:
#   Class-Inspector class_inspector__devel_hide.t   (needs Devel::Hide)
#   Text-Balanced 94_changes / 95_critic / 96_pmv / 97_pod / 98_pod_coverage
#                                                   ("Author testing only")
#   Try-Tiny global_destruction_load.t              (needs Capture::Tiny 0.12)
# The scoreboard still calls them FAIL (its rule is "zero ok"); the cause
# column is what stops them being counted as PCL's — deliberately, because
# changing the verdict would silently rewrite four earlier snapshots.
#
# ONE MEASUREMENT THE CAUSES DEPEND ON, recorded so it is not re-derived:
# `tools/run-dist-t.pl` does NOT chdir to the dist root while the perl oracle
# does, so a test using RELATIVE paths fails for a reason that is not PCL's
# (measured on File-Which: 13/6 as the board runs it, 15/4 with CWD = the dist,
# 19/0 under perl).  Task #1575; not fixed here because it is a RUNNER change
# and would move verdicts under the snapshot this file is blessed against.
Algorithm-Diff-1.201-0	base.t	6			"a h n p"	#1511 A (same hunk-iteration family)
Algorithm-Diff-1.201-0	base.t	10			"a h n p"	#1511 A (same hunk-iteration family)
Algorithm-Diff-1.201-0	base.t	15			"$VAR1 = [[['-',0,'a']],[['+',2,'d']],[['-',4,'h'],['+',4,'f']],[['+',6,'k']],[['-',8,'n'],['+',9,'r'],['-',9,'p'],['+',10,'s'],['+',11,'t']]];"	#1511 A (same hunk-iteration family)
Algorithm-Diff-1.201-0	oo.t	61			"b"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	67			"b"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	72			"b"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	73			"c"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	79			"b"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	80			"c"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	84			"b"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	85			"c"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	91			"b"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	92			"c"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	96			"b"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	97			"c"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	103			"b"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	104			"c"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	108			"b"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	109			"c"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
Algorithm-Diff-1.201-0	oo.t	110			"a b c e h j l m n p"	#1511 A (the hunk iterator answers the wrong items after ->Next, and the croak escapes an eval {})
