# everyday-baseline.tsv -- the blessed state of tools/everyday-smoke.pl (task #2099).
#
# THIS FILE LISTS WHAT IS WRONG.  A program that matches perl has NO row, exactly
# like baselines/fail-baseline.tsv.  Every row carries a CAUSE that explains THE
# FIRST DIFFERING STDOUT LINE -- a task number, or an anchor in
# docs/not-supported.md for ruled non-support.
#
# ROWS LEAVE BY EDIT, with the batch that fixed them named in the commit message.
# There is deliberately no --bless-baseline: a baseline you can re-bless from a
# run is a baseline that absorbs regressions silently.
#
#   NEW          not `same`, no row here                     => the run exits 1
#   FIXED        a row whose program is now `same`           => edit the row out
#   MOVED        the first-diff line or the verdict changed  => re-attribute it
#   UNEXPLAINED  a row with an empty cause                   => the run exits 1
#   STALE        a row naming a program that is not there    => the run exits 1
#
# BLESSED s495e (2026-09-21) on 98313c26, gen v2-1740: 85 of 122 identical
# (idioms 38/42, index 10/19, modules 14/28, programs 23/33).  Every cause below
# was confirmed against the first differing line, not copied from a table.
#
# EXPECTED TO MOVE SOON: the rows citing #1997 #1998 #2000 #2002 #2007 #2050
# #2081 #1743 are what the s492c batch is fixing in its own worktree; when it
# merges they become FIXED and leave by edit, citing s492c.
#
# area/name<TAB>verdict<TAB>first-diff-line<TAB>cause
idioms/destroy-scope	DIFF	1	not-supported.md#destroy-called-by-garbage-collector -- DESTROY is never called at scope exit
index/format	DIFF	1	not-supported.md#format--write-report-formatting -- ruled non-support, announced
index/formline	DIFF	1	not-supported.md#format--write-report-formatting -- formline + $^A are ruled with format/write; the call dies (s495f, #2093)
index/lc-uc-etc	DIFF	3	#2092 lc/uc treat bytes 128-255 as Latin-1 letters; perl leaves high bytes alone
index/proc	DIFF	12	#2107 only $SIG{ALRM} is wired: a USR1 handler never runs and the default disposition kills the process (s492c re-attribution -- #2002's sleep row was line 10 and is fixed; measured: PCL prints through `kill0` and then stops)
modules/Archive-Tar-Compress	DIFF	1	#2084 (4) Archive::Tar::Constant builds @EXPORT by walking its own stash
modules/Benchmark-Memoize	DIFF	1	#2285 a `package` statement inside a string-eval'd sub loses the captured lexicals
modules/Digest-SHA-MD5	DIFF	1	not-supported.md#dynaloader--xs-binary-extensions -- Digest::MD5/SHA are XS; pclxs is parked
modules/File-Compare-Copy	DIFF	1	#2287 File::Copy's forward goto lowers to a bare (go :tag) with no tag
modules/File-Temp	DIFF	1	#2056 File::Temp->new dies "Cannot dereference non-reference: #<fd-stream>" (the glob-as-object idiom); tempdir() and tempfile() work since s492c's #2007 (re-attributed s495 review)
modules/IO-Select-Socket	DIFF	1	#1998 a circular `use` of a mid-load module skips its import
modules/IPC-Open2-Open3	DIFF	1	#2082 open2/open3 with a LIST command; the handles never open
modules/Math-BigInt-BigFloat	DIFF	1	#2083 Math::BigFloat->bdiv(3, 20) exhausts the binding stack
modules/Scalar-Util	DIFF	1	#2084 (3) isweak is always false after weaken; openhandle/readonly stubs
modules/Sys-Hostname-Env-English	DIFF	1	#2084 (5) `use Env qw(HOME @PATH)` needs tie on scalars-by-name and arrays (#155)
modules/Text-Wrap-ParseWords-Abbrev	DIFF	1	#2060 \pM / \PM never match (cl-ppcre's property resolver is never set): core Text::Wrap 5.40.3's loop is built on them, not on \X, so EVERY wrap()/fill() call still dies (re-attributed s495 review; #2050 is closed)
modules/Tie-Hash-Array-Scalar	DIFF	1	#155 tie on ARRAY/HASH is announced, not implemented
programs/carp-attribution	DIFF	1	#1361 croak/carp carry no ` at FILE line N.` location
programs/lc-uc-nonascii	DIFF	1	not-supported.md#unicode-case-folding-and-property-tables--deferred-ruled-s465-owner-1036 -- uc("straße")
programs/nested-eval-errors	DIFF	3	#2103 `@$undef` as an rvalue dies only under `strict refs` (strict-DEPENDENT, measured s495f -- strict refs is unenforced) + #1554 $SIG{__DIE__} is never invoked
programs/resource-idioms	DIFF	1	#2006 (b) a lexical filehandle is not closed at scope exit
programs/tied-scalar-hash	DIFF	2	#155 tie on HASH is announced, not implemented
