# taken-at: 5323d9e 2026-08-15
# s435 (THE FLIP — Option B phase 2's last step; ruled fable-answers-s433.md
#   §A.1, accept-the-price ruled in the s435 review): a statement the compiler
#   cannot lower is no longer replaced by `nil` with the program running on —
#   it is replaced by a `p-die`, so reaching it dies, perl-shaped and trappable.
#   FOUR files lost rows, all EDITED BY HAND, none re-blessed.  TOTAL passing
#   18366 -> 18311 (-55).  THE COST MODEL, recorded because it is what a future
#   session will want: the unit of the DECISION is the STATEMENT, but the unit
#   of the LOSS is the enclosing TOP-LEVEL FORM.  (perl's own loss unit for an
#   untrapped run-time die is the whole remaining program; the sweep's
#   p-load-with-recovery, #467, already narrows that to the one form — so PCL
#   post-flip loses LESS than perl would given the same program.)  The lost
#   rows are not a debt written off: each names a census owner below, and the
#   rows return when that gap closes.
#   substr.t 375 -> 347, status OK -> PARTIAL (ran 353 of 397).  Two drops,
#     both the lvalue-sub refusal (`bar = "XXX"` substr.t:697 and
#     `ta_tindex() = 23` substr.t:900) — census family 1, a REGISTERED absence
#     (not-supported.md §Lvalue subroutines), no owner task because it is
#     deliberate.  Drop 1 sits in a 190-line top-level form with 18 later
#     test-calls in a loop, drop 2 in the file's last form with 4.  The old
#     "OK" was a false OK — a file reported complete while missing two
#     statements; PARTIAL is the honest status and the honest fix target.
#   method.t 97 -> 72 (ran 124 of 163).  ONE drop — `is((method $obj "a","b",
#     "c"), …)` at method.t:72, the indirect-object family, census family 10,
#     owner **#399**.  It sits inside the top-level `(let (($obj …)) (let
#     (($mname …)) …))` that a file-level `my` wraps around the whole rest of
#     the file, so one drop costs 39 unrun rows.  This is the multiplier the
#     ruling did not have: a file whose loss is out of proportion PROMOTES its
#     drop's owner task, it does not bend the flip.
#   split.t 178 -> 177 and bop.t 253 -> 252.  Both are the ACCIDENTAL-PASS kind
#     and both are IMPROVEMENTS: a `fresh_perl_is(…, '')` whose child program's
#     only statement is a drop.  The child used to print nothing, so the row
#     matched '' and passed while testing nothing; the child now dies, so the
#     row fails honestly and joins fail-baseline.tsv.  split.t:682 "scalar
#     split stack overflow" (child `split//.0>60for"0000…"`); bop.t:701
#     "[perl #17844] access beyond end of block" (child `formline X000n…`,
#     the registered §format/write absence).  Attributed on a HEAD worktree,
#     and each child probed alone vs perl — bop.t's other two children are
#     unaffected.  NOTE: these two are the sixth population — a drop inside a
#     fresh_perl/runperl CHILD is invisible to the drop census, which reads
#     emitted .lisp files (task #472).
# s440 (agent s441c, task #468 -- a NEVER-declared sub call reaches the package's
#   AUTOLOAD, through the ONE %p-call-of-undefined-sub mechanism re-entered at
#   the call by encapsulating SBCL's restart-undefined): sort.t 203 -> 204 and
#   1 -> 0 fails, EDITED BY HAND.  The row is sort.t 177 "AUTOLOAD without stub"
#   (`sort.t:880`-ish: a comparator NAME with no body in a package with an
#   AUTOLOAD), which the fail baseline carried since its first bless and which
#   left that file by EDIT in the same commit.  The ONLY mover of the interim
#   s440 sweep (TOTAL 18312 -> 18313, GATE clean, 0 new, drops 5 = census).
# s436 (#456 half (b) / #469, the PHASE MODEL): sort.t 202 -> 203 and PARTIAL ->
#   OK, EDITED BY HAND — the row the s432 note below promised back.  PCL now
#   emits every section's COMPILE phase (defs, BEGINs) before any section's RUN
#   phase, as perl does, so `package A; sub min` is defined before the earlier
#   block's `sort { A::min(@$a) <=> A::min(@$b) }` runs: the comparator calls
#   the real sub, the list sorts, and `cmp_ok($answer,'eq','good','bug 36430')`
#   passes for the reason the test intends.  The file also stops aborting a
#   top-level form, hence OK.  It is the ONLY row the phase model moved in this
#   population (sweep TOTAL 18311 -> 18312, GATE clean, 0 new / 0 fixed).
# s432 (#456 half (a), the forward-declaration stub): sort.t 203 -> 202 EDITED BY
#   HAND, and its status OK -> PARTIAL.  The lost row is `cmp_ok($answer,'eq',
#   'good','bug 36430')` (sort.t:870), which was an ACCIDENTAL pass: the block's
#   `sort { A::min(@$a) <=> A::min(@$b) }` runs BEFORE the `package A; sub min`
#   that follows it in the same block (PCL emits the package switch as its own
#   section), so both calls reached the forward-declaration STUB.  The stub
#   answered nil, undef <=> undef is 0, the list came back unsorted, $answer was
#   never touched and the assertion passed while testing nothing.  The stub now
#   DIES (CLAUDE.md rule 12), so the statement fails honestly and the sweep's
#   p-load-with-recovery drops that one top-level form.  The row comes back for
#   real when #456 half (b) lands (hoist a sub an EARLIER section calls).
#   Same session, the opposite direction: perl-tests/sort.t's `ok(1, "SKIP:
#   stubborn AUTOLOAD ...")` was RESTORED to perl's own assertion (`sort
#   stubbedsub`), which passes now that the stub falls through to AUTOLOAD —
#   so the row COUNT of that pair is unchanged and only its honesty moved.
# s424 (#423, glob VALUE vs glob REF): substr.t 374 -> 375 EDITED BY HAND.
#   `my $x = *foo; is ref \$x, 'GLOB', '\substr does not coerce its glob arg just yet'`
#   (substr.t:784) — ref(\$x) answered REF (the box path treated every
#   typeglob-holding box as a glob ref); it answers GLOB now.  The only row that
#   moved in the s424 sweep (TOTAL 18364 -> 18365).
# s420 (#414, the hollow-token fix): postfixderef.t 94 -> 95 EDITED BY HAND.
#   The file's `package o` block registers a '.' overload whose body interpolates
#   "$_[$_[2]]"; that statement was DROPPED (the fragment parser's cloned tokens
#   went hollow between parse and emit), so the handler compiled to nil and
#   returned undef.  With the statement lowered, test 107 ("foo $s->$* bar does
#   concat overloading") passes and leaves fail-baseline.tsv by EDIT.  It is the
#   only row that moved in the whole sweep (per-file compare: every other file
#   byte-identical); TOTAL passing 18363 -> 18364.
# s399 (#323): assignwarn.t 116->96 and hashassign.t 309->305 EDITED BY HAND, not re-blessed —
#   the three t/test.pl warning helpers stopped manufacturing a pass, so 24 rows became honest
#   failures.  Cause for every one: PCL emits no warnings-gated diagnostic
#   (docs/not-supported.md section "Warnings-gated diagnostics are absent"; owner task #221).
# s405 (#346 harness half): ref.t 190 -> 191 EDITED BY HAND.  tools/pclperl-for-tests
#   stopped printing 56 blank stderr lines per child (s404l), so one of the 23
#   fresh_perl/runperl exact-output comparisons in that file now matches.  The
#   companion half moved the same way (t/op/ref.t 196 -> 197).
# s408 (#363, an eval-mode DROP now DIES into $@): FIVE rows EDITED BY HAND.
#   dor.t 32->29, postfixderef.t 96->94, yadayada.t 21->20 — each lost row is a
#   '... compiles' assertion ($@ eq '') about code PCL genuinely cannot lower
#   (`<FOO> // 0`, `$ref->**`, a `...` statement).  They were passing only
#   because the failure was SILENT; the drop now reports itself, so they are
#   honest failures and their rows are in fail-baseline.tsv with the message.
#   eval.t 127->128 and magic.t 149->150 GAINED: eval.t because an invalid
#   construct in an eval now sets $@ as perl does, magic.t because of #375 —
#   `qq < … >` had been keeping its delimiters in the string value.
# s415 (#371, Option B phase 2 Track A): state.t 158 -> 0, status PARTIAL ->
#   TRANSPILE_FAIL, EDITED BY HAND.  The file's one `given (state $spam = $spam)`
#   block (line 350) is now a RULED REFUSAL rather than a silent drop --
#   given/when was removed in perl 5.42, so PCL refuses the file as perl does,
#   and a transpile-time refusal yields no TAP at all.  This trade was ruled
#   with Track A (docs/option-b-phase2-plan.md §2) and is not avoidable by
#   ordering: at the end of phase 2 EVERY remaining drop dies, and given/when
#   will still not be implemented.  Measured cost, both populations: this file
#   and t/op/state.t (126 rows) -- every other file the five refusal families
#   touch was already producing 0-27 rows.  Task #400 carries the trade and the
#   single condition that would reopen it.
# s415 (#370): bop.t 251 -> 253, EDITED BY HAND.  The two `is(~~$y, …)` rows
#   ran for the first time: PPI lexes a term-initial `~~` as the smart-match
#   operator, so both statements were DROPPED whole; the token repair
#   Parser2::_repair_term_initial_complement splits it into the two complements
#   perl reads (ppi-upstream-bugs.md §21).
# s418 (#343): bless.t 106/0->106/1 and split.t 184/9->178/6 EDITED BY HAND, not re-blessed —
#   the stale-ceiling fix un-dropped one statement in each.  bless.t: the assertion at :179 runs
#   for the first time and FAILS honestly (bless misses get-magic on a tied operand; owner #408).
#   split.t: the un-dropped `my ($sp) = grep ... or skip` now takes the file's own skip branch
#   (PCL's \s under /u misses NBSP, owner #407), so 9 rows skip: 3 were baseline fails (fixed),
#   6 were ACCIDENTAL passes running on the dropped statement's undef $sp.
aassign.t	OK	173	15	189
anonsub.t	OK	1	0	1
append.t	OK	13	0	13
args.t	OK	22	1	23
arith.t	OK	183	0	183
arith2.t	OK	9	0	9
array.t	OK	169	15	195
assignwarn.t	OK	96	20	116
auto.t	OK	47	0	47
bless.t	OK	106	1	106
blocks.t	OK	16	9	26
bool.t	OK	8	0	8
bop.t	PARTIAL	252	257	510
caller.t	PARTIAL	15	49	112
chars.t	OK	34	0	34
chdir.t	OK	25	0	44
chop.t	PARTIAL	96	0	148
chr.t	OK	38	0	42
# s428 (#411 elided-arrow call): closure.t 272 -> 273 EDITED BY HAND — `$s2->()()` (line 742) no longer DROPS.
closure.t	OK	273	4	279
cmpchain.t	OK	1476	0	1476
concat.t	OK	234	0	225
concat2.t	OK	4	0	4
cond.t	OK	4	0	4
context.t	OK	7	1	8
crypt.t	OK	5	0	6
defined.t	OK	5	0	5
defins.t	OK	27	0	27
delete.t	OK	53	3	56
die.t	OK	3	0	3
die_exit.t	OK	17	0	17
do.t	OK	65	3	73
# s445/s446k (#479): the readline-in-ternary cascade repair makes <FOO> // and <$foo> // compile —
# dor.t rows 21+22 left fail-baseline.tsv by EDIT (row 23, -f //, still fails: filed residue).
dor.t	OK	31	1	34
each.t	OK	51	0	65
each_array.t	OK	65	0	65
errno_test.t	OK	2	0	2
eval.t	PARTIAL	128	32	169
exists_sub.t	OK	18	0	18
exp.t	OK	30	0	31
flip.t	OK	12	2	14
for.t	OK	131	0	132
grent.t	OK	3	0	3
grep.t	OK	71	0	77
hash.t	OK	7	7	14
hashassign.t	OK	305	4	309
hexfp.t	OK	106	15	125
if.t	OK	2	0	2
index.t	OK	110	0	120
infnan.t	OK	1106	0	1112
int.t	OK	19	0	19
isa.t	OK	14	0	14
join.t	OK	43	0	43
kvaslice.t	OK	17	0	17
kvhslice.t	OK	39	0	39
lc.t	OK	82	0	2659
length.t	PARTIAL	35	3	49
lex.t	OK	45	0	53
local.t	OK	303	13	319
loopctl.t	OK	67	0	67
lop.t	OK	47	0	47
# s445/s446i (#512): $0 is writable, so tests 104/105/110 (compare $0 after write) now PASS and left
# fail-baseline.tsv by EDIT; test 204 (altering $0 via /proc/) is an HONEST new failure (no OS-level
# argv rename from SBCL, docs/not-supported.md) added to fail-baseline in the same commit.
magic.t	PARTIAL	152	37	208
method.t	PARTIAL	72	26	163
min_local.t	OK	10	0	10
multideref.t	PARTIAL	42	10	65
my.t	OK	52	0	52
negate.t	OK	47	0	47
not.t	OK	20	0	24
num.t	OK	56	0	56
oct.t	OK	79	0	79
or.t	OK	11	2	14
ord.t	OK	38	0	38
pack.t	OK	5636	89	14722
parent.t	OK	7	2	9
pos.t	OK	15	15	30
# s446j (#517): postfixderef.t 95 -> 96 EDITED BY HAND — the same `ref(\&{""})` row as ref.t's
#   ([perl #94476]); it left fail-baseline.tsv by EDIT in the same commit.
postfixderef.t	PARTIAL	96	25	128
pow.t	OK	268	0	268
print.t	OK	2	1	3
push.t	OK	32	0	32
qq.t	OK	30	0	30
qr.t	OK	23	14	37
quotemeta.t	OK	38	2	60
range.t	OK	158	0	162
readline.t	PARTIAL	23	5	36
recurse.t	OK	27	1	28
# s428 (#411 elided-arrow call): ref.t 191 -> 192 EDITED BY HAND — `(sub{})[0]()` (line 674) no longer DROPS.
# s446j (#517): ref.t 192 -> 193 EDITED BY HAND — `ref(\&{""})` is CODE, as perl says
#   ([perl #94476]): `\&$name` is the late-bound code ref `\&NAME` is, not a SCALAR ref to
#   p-get-coderef's NIL.  The row left fail-baseline.tsv by EDIT in the same commit.
ref.t	PARTIAL	193	16	245
reset.t	PARTIAL	41	0	45
reverse.t	OK	25	0	25
scalar.t	OK	84	32	128
signatures.t	OK	888	90	979
sleep.t	OK	4	0	4
sort.t	OK	204	0	205
splice.t	OK	34	0	34
split.t	OK	177	7	219
sprintf.t	OK	532	25	559
sprintf2.t	OK	1631	11	1678
state.t	TRANSPILE_FAIL	0	0	166
study.t	OK	43	0	43
sub.t	OK	62	2	65
substr.t	PARTIAL	347	3	397
time.t	OK	72	0	72
tr.t	PARTIAL	239	3	317
translate.t	OK	257	0	257
undef.t	OK	30	0	35
unshift.t	OK	19	0	19
vec.t	OK	76	0	78
wantarray.t	OK	27	1	28
warn.t	OK	11	0	11
while.t	OK	4	0	4
yadayada.t	PARTIAL	20	13	34
