# perl-suite-expected-rows.tsv — the ROW baseline behind XDIFF (task #185).
# GENERATED: `tools/run-perl-suite.pl --bless-rows` rewrites the files that run
# measured.  Do not hand-edit; edit docs/perl-suite-expected.tsv (the reasons)
# and re-bless.
#
# One line per DIVERGING ROW of a registered file: <rel-path><TAB><rowkey>.
# rowkey = PERL's test description (never a test number — task #177 proved
# numbers are the unstable coordinate), with four fallbacks: "#N" for a
# genuinely unnamed test, "*extra* <desc>" for a PCL-ONLY TAP row, "*summary*"
# for the log's test#-0 summary rows, and "*no-log*" for a file that produced
# no per-test log at all (TRANSPILE).
#
# ENFORCEMENT: the multiset here must EQUAL the run's diverging rows.  An extra
# row keeps the file DIFF and names the intruder (a new bug cannot hide inside
# a blessed feature gap); a row that stopped diverging makes the file STALE.
#
# *rows-unstable* — a file whose ONLY entry is this opts OUT of the row check
# (the file-level reason covers it wholesale, as before #185).  It must be
# hand-placed and justified by a MEASUREMENT that the row set is
# nondeterministic; --bless-rows never invents it and never overwrites it.
class/accessor.t	*no-log*
class/class.t	*no-log*
class/construct.t	*no-log*
class/destruct.t	*no-log*
class/field.t	*no-log*
class/inherit.t	*no-log*
class/method.t	*no-log*
class/phasers.t	*no-log*
class/threads.t	*no-log*
class/utf8.t	*no-log*
cmd/for.t	[perl #78194] Lone C-style for in a block
cmd/for.t	double destroy, x=1
cmd/for.t	freed value in iteration
comp/hints.t	#16
comp/hints.t	$^H contains HINT_LOCALIZE_HH at eval""-time
comp/hints.t	$^H contains HINT_LOCALIZE_HH while compiling
comp/hints.t	$^H correct after require
comp/hints.t	$^H correct before require
comp/hints.t	$^H{foo} cleared for require
comp/hints.t	$^H{foo} correct after /unicode/i (res=foo-foo-)
comp/hints.t	$^H{foo} doesn't exist at runtime
comp/hints.t	$^H{foo} doesn't exist when compilation complete
comp/hints.t	$^H{foo} doesn't exist while finishing compilation
comp/hints.t	$^H{foo} is 'a' at eval-"" time
comp/hints.t	$^H{foo} restored to 'a'
comp/hints.t	%^H does not leak when autovivified in destructor
comp/hints.t	setting ${^WARNING_BITS} to its own value has no effect
io/defout.t	$-
io/msg.t	*summary*
io/sem.t	*summary*
io/shm.t	*summary*
mro/basic.t	@main::ISA is magical
mro/basic.t	Changes to UNIVERSAL::DESTROY invalidate DESTROY caches
mro/basic.t	Q3->can('bar')
mro/basic.t	Q3->can('foo')
mro/basic.t	Q3->can('foo')
mro/basic.t	[at t/mro/basic.t line 108]
mro/basic.t	[at t/mro/basic.t line 112]
mro/basic.t	[at t/mro/basic.t line 141]
mro/basic.t	[at t/mro/basic.t line 145]
mro/basic.t	[at t/mro/basic.t line 163]
mro/basic.t	[at t/mro/basic.t line 167]
mro/basic.t	[at t/mro/basic.t line 178]
mro/basic.t	[at t/mro/basic.t line 179]
mro/basic.t	[at t/mro/basic.t line 182]
mro/basic.t	[at t/mro/basic.t line 183]
mro/basic.t	[at t/mro/basic.t line 191]
mro/basic.t	[at t/mro/basic.t line 196]
mro/basic.t	[at t/mro/basic.t line 210]
mro/basic.t	[at t/mro/basic.t line 210]
mro/basic.t	[at t/mro/basic.t line 210]
mro/basic.t	[at t/mro/basic.t line 210]
mro/basic.t	[at t/mro/basic.t line 233]
mro/basic.t	[at t/mro/basic.t line 237]
mro/basic.t	[at t/mro/basic.t line 239]
mro/basic.t	[at t/mro/basic.t line 286]
